idx,polygon_idx,name,shear_weightabs,area,cx,cy,x0,y0,x1,y1,x2,y2,tau_x,tau_y
109,0,flange:flange,0.4166666666666667,4.394531250000034e-05,0.1140625,0.6934999999999999,0.125625,0.6922499999999999,0.114375,0.696,0.1021875,0.6922499999999999,157730.8213822109,75065.95892609408
110,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.10187500000000001,0.68975,0.1134375,0.6884999999999999,0.1021875,0.6922499999999999,0.09,0.6884999999999999,162235.1814730031,85409.01577850184
111,0,flange:flange,0.4166666666666667,4.394531250000034e-05,0.11374999999999998,0.6909999999999998,0.125625,0.6922499999999999,0.1021875,0.6922499999999999,0.1134375,0.6884999999999999,157730.8213822109,71895.93550611287
112,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.19468749999999999,0.6822499999999999,0.20625,0.6809999999999999,0.195,0.68475,0.1828125,0.6809999999999999,124636.30760635095,47013.013022119805
113,0,flange:flange,0.4166666666666667,4.394531249999906e-05,0.1834375,0.6859999999999999,0.195,0.68475,0.18375,0.6884999999999999,0.1715625,0.68475,130324.88540108316,49122.51084743689
114,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.17124999999999999,0.6822499999999999,0.1828125,0.6809999999999999,0.1715625,0.68475,0.159375,0.6809999999999999,137936.6270231828,51360.360055541
115,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.18312499999999998,0.6835,0.195,0.68475,0.1715625,0.68475,0.1828125,0.6809999999999999,130324.88540108316,28525.13518923273
116,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.17218749999999997,0.68975,0.18375,0.6884999999999999,0.1725,0.6922499999999999,0.1603125,0.6884999999999999,135752.87701857433,51599.02641936516
117,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.16093749999999998,0.6934999999999999,0.1725,0.6922499999999999,0.16125,0.696,0.1490625,0.6922499999999999,140591.94933282988,54438.061905416354
118,0,flange:flange,0.4166666666666667,4.3945312500000364e-05,0.14874999999999997,0.68975,0.1603125,0.6884999999999999,0.1490625,0.6922499999999999,0.136875,0.6884999999999999,148144.86860315938,58530.79920901607
